epoch,train_acc,test_acc,fname
102,1.0,0.891,cifar10_resnet18_baseline_new.csv
93,1.0,0.8906,cifar10_resnet18_baseline_new.csv
95,1.0,0.8905,cifar10_resnet18_baseline_new.csv
94,1.0,0.8901,cifar10_resnet18_baseline_new.csv
96,1.0,0.8901,cifar10_resnet18_baseline_new.csv
195,0.99172,0.9708,cifar10_wideresnet_cutout.csv
192,0.99226,0.9706,cifar10_wideresnet_cutout.csv
190,0.99278,0.9706,cifar10_wideresnet_cutout.csv
193,0.99244,0.9702,cifar10_wideresnet_cutout.csv
182,0.99136,0.9701,cifar10_wideresnet_cutout.csv
193,0.99998,0.9539,cifar10_resnet18_baseline.csv
178,1.0,0.9538,cifar10_resnet18_baseline.csv
192,0.99996,0.9537,cifar10_resnet18_baseline.csv
187,0.99994,0.9536,cifar10_resnet18_baseline.csv
185,0.99996,0.9535,cifar10_resnet18_baseline.csv
182,0.99148,0.9603,cifar10_resnet18_cutout_new.csv
199,0.9905,0.9601,cifar10_resnet18_cutout_new.csv
191,0.99086,0.9599,cifar10_resnet18_cutout_new.csv
184,0.99014,0.9598,cifar10_resnet18_cutout_new.csv
183,0.99058,0.9597,cifar10_resnet18_cutout_new.csv
196,89.484,97.23,cifar10_wideresnet_saliencymix.csv
198,91.85600000000001,97.2,cifar10_wideresnet_saliencymix.csv
199,89.312,97.19,cifar10_wideresnet_saliencymix.csv
171,88.44800000000001,97.18,cifar10_wideresnet_saliencymix.csv
190,90.256,97.18,cifar10_wideresnet_saliencymix.csv
197,0.99996,0.9546,cifar10_resnet50_baseline.csv
181,0.99986,0.9544,cifar10_resnet50_baseline.csv
198,0.99996,0.9541,cifar10_resnet50_baseline.csv
192,0.99994,0.954,cifar10_resnet50_baseline.csv
195,0.99996,0.9538,cifar10_resnet50_baseline.csv
166,89.862,96.03,cifar10_resnet18_saliencymix.csv
187,88.076,95.99,cifar10_resnet18_saliencymix.csv
182,86.396,95.98,cifar10_resnet18_saliencymix.csv
179,89.55,95.97,cifar10_resnet18_saliencymix.csv
183,87.78399999999999,95.97,cifar10_resnet18_saliencymix.csv
197,0.9916,96.08,cifar10_resnet18_cutout.csv
199,0.99054,96.04,cifar10_resnet18_cutout.csv
186,0.99092,96.03,cifar10_resnet18_cutout.csv
195,0.99038,96.03,cifar10_resnet18_cutout.csv
182,0.98954,96.03,cifar10_resnet18_cutout.csv
195,0.99988,0.9628,cifar10_wideresnet_baseline.csv
192,0.99986,0.9626,cifar10_wideresnet_baseline.csv
196,0.9999,0.9623,cifar10_wideresnet_baseline.csv
194,0.9999,0.9623,cifar10_wideresnet_baseline.csv
187,0.99988,0.9623,cifar10_wideresnet_baseline.csv
185,0.9894,0.9612,cifar10_resnet50_cutout.csv
190,0.99038,0.9612,cifar10_resnet50_cutout.csv
191,0.9904,0.9609,cifar10_resnet50_cutout.csv
197,0.99118,0.9607,cifar10_resnet50_cutout.csv
168,0.98852,0.9607,cifar10_resnet50_cutout.csv
181,89.214,96.13000000000001,cifar10_resnet50_saliencymix.csv
190,89.558,96.1,cifar10_resnet50_saliencymix.csv
193,89.964,96.07,cifar10_resnet50_saliencymix.csv
183,89.872,96.06,cifar10_resnet50_saliencymix.csv
179,91.2,96.06,cifar10_resnet50_saliencymix.csv
